shipment_id,service,origin_region,destination_region,actual_weight_kg,chargeable_weight_kg,status,created_date
SHP-001,EXPRESS,EAST,CENTRAL,0.4,1,DELIVERED,2026-08-01
SHP-002,EXPRESS,EAST,NORTH,0.6,1,DELIVERED,2026-08-02
SHP-003,EXPRESS,NORTH,EAST,0.8,1,IN_TRANSIT,2026-08-03
SHP-004,EXPRESS,CENTRAL,EAST,1.0,1,DELIVERED,2026-08-04
SHP-005,EXPRESS,EAST,SOUTH,1.2,2,DELIVERED,2026-08-05
SHP-006,EXPRESS,SOUTH,CENTRAL,1.5,2,IN_TRANSIT,2026-08-06
SHP-007,EXPRESS,NORTH,SOUTH,2.0,2,DELIVERED,2026-08-07
SHP-008,EXPRESS,CENTRAL,NORTH,3.0,3,RETURNED,2026-08-08
SHP-009,REGULAR,EAST,CENTRAL,0.2,1,DELIVERED,2026-08-09
SHP-010,REGULAR,EAST,NORTH,0.3,1,DELIVERED,2026-08-10
SHP-011,REGULAR,NORTH,EAST,0.5,1,DELIVERED,2026-08-11
SHP-012,REGULAR,CENTRAL,EAST,0.7,1,IN_TRANSIT,2026-08-12
SHP-013,REGULAR,EAST,SOUTH,0.9,1,DELIVERED,2026-08-13
SHP-014,REGULAR,SOUTH,CENTRAL,1.1,2,DELIVERED,2026-08-14
SHP-015,REGULAR,NORTH,SOUTH,1.4,2,IN_TRANSIT,2026-08-15
SHP-016,REGULAR,CENTRAL,NORTH,1.9,2,RETURNED,2026-08-16
SHP-017,ECONOMY,EAST,CENTRAL,0.1,1,DELIVERED,2026-08-17
SHP-018,ECONOMY,EAST,NORTH,0.2,1,DELIVERED,2026-08-18
SHP-019,ECONOMY,NORTH,EAST,0.3,1,IN_TRANSIT,2026-08-19
SHP-020,ECONOMY,CENTRAL,EAST,0.4,1,DELIVERED,2026-08-20
SHP-021,ECONOMY,EAST,SOUTH,0.5,1,DELIVERED,2026-08-21
SHP-022,ECONOMY,SOUTH,CENTRAL,0.6,1,DELIVERED,2026-08-22
SHP-023,ECONOMY,NORTH,SOUTH,0.8,1,IN_TRANSIT,2026-08-23
SHP-024,ECONOMY,CENTRAL,NORTH,1.0,1,RETURNED,2026-08-24
